Index,Date,Section,Observation Type,Pass/Fail,Scout,Notes
2,20/11/2024,B2S7,Insect pests,partial,Precious,"1 nut borer larvae, black citrus aphids, broad mites and few thrips"
3,20/11/2024,B2S7,diseases,pass,Precious,2 plants with sterm canker
4,20/11/2024,B2S7,basin weeds,pass,Precious,still clean
5,20/11/2024,B2S7,soil moisture,fail,Precious,to be slashed
6,20/11/2024,B2S7,mowing,partial,Precious,
7,20/11/2024,B2S7,inaccessibles,partial,Precious,
8,20/11/2024,B2S7,soil moisture,partial,Precious,
9,20/11/2024,B2S7,dead plants,pass,Precious,
10,20/11/2024,B2S7,flowering,partial,Precious,
11,20/11/2024,B2S7,nutsetting,pass,Precious,
12,20/11/2024,B2S7,nutdrop,pass,Precious,
13,20/11/2024,B2S7,health status,partial,Precious,
14,20/11/2024,B1S1,Insect pests,partial,Precious,"few thrips,rapid meally bugs on nuts stalk"
15,20/11/2024,B1S1,diseases,partial,Precious,black sooty mould
16,20/11/2024,B1S1,basin weeds,partial,Precious,inprogrees
17,20/11/2024,B1S1,inrows,fail,Precious,to be slashed
18,20/11/2024,B1S1,mowing,partial,Precious,inprogrees
19,20/11/2024,B1S1,inaccessibles,partial,Precious,
20,20/11/2024,B1S1,contours,fail,Precious,to be slashed
21,20/11/2024,B1S1,nutsetting,pass,Precious,
22,20/11/2024,B1S1,flowering,partial,Precious,
23,20/11/2024,B1S1,nutdrop,pass,Precious,
24,20/11/2024,B1S1,soil moisture,partial,Precious,
25,20/11/2024,B1S1,health status,partial,Precious,sooty mould need control
26,21/11/2024,B1S2,Insect pests,partial,Precious,"few thrips,rapid meally bugs on nuts stalk"
27,21/11/2024,B1S2,diseases,pass,Precious,
28,21/11/2024,B1S2,basin weeds,pass,Precious,
29,21/11/2024,B1S2,inrows,fail,Precious,to be slashed
30,21/11/2024,B1S2,mowing,fail,Precious,need action
31,21/11/2024,B1S2,inaccessibles,fail,Precious,
32,21/11/2024,B1S2,contours,fail,Precious,
33,21/11/2024,B1S2,soil moisture,partial,Precious,
34,21/11/2024,B1S2,flowering,partial,Precious,
35,21/11/2024,B1S2,nutsetting,pass,Precious,
36,21/11/2024,B1S2,nutdrop,pass,Precious,
38,21/11/2024,B2S6,Insect pests,pass,Precious,
39,21/11/2024,B2S6,diseases,partial,Precious,black sooty mould
40,21/11/2024,B2S6,basin weeds,pass,Precious,
41,21/11/2024,B2S6,inrows,partial,Precious,inprogress
42,21/11/2024,B2S6,mowing,pass,Precious,
43,21/11/2024,B2S6,inaccessibles,partial,Precious,
44,21/11/2024,B2S6,soil moisture,partial,Precious,
45,21/11/2024,B2S6,flowering,partial,Precious,
46,21/11/2024,B2S6,nutsetting,pass,Precious,
47,21/11/2024,B2S6,nutdrop,pass,Precious,
48,21/11/2024,B2S6,health status,partial,Precious,
49,22/11/2024,B2S7,Insect pests,pass,Precious,
50,22/11/2024,B2S7,diseases,partial,Precious,sterm canker on 3 plants
51,22/11/2024,B2S7,basin weeds,pass,Precious,
52,22/11/2024,B2S7,inrows,fail,Precious,
53,22/11/2024,B2S7,mowing,fail,Precious,
54,22/11/2024,B2S7,inaccessibles,fail,Precious,
55,22/11/2024,B2S7,dead plants,pass,Precious,
56,22/11/2024,B2S7,health status,pass,Precious,
58,22/11/2024,B2S7,Insect pests,pass,Precious,
59,22/11/2024,B2S7,diseases,partial,Precious,
60,22/11/2024,B2S7,basin weeds,pass,Precious,
61,22/11/2024,B2S7,inrows,fail,Precious,
62,22/11/2024,B2S7,mowing,fail,Precious,
63,22/11/2024,B2S7,inaccessibles,fail,Precious,
64,22/11/2024,B2S7,dead plants,partial,Precious,.2 pants
65,22/11/2024,B2S7,nutsetting,pass,Precious,
66,22/11/2024,B2S7,nutsetting,pass,Precious,
67,22/11/2024,B2S7,nutdrop,pass,Precious,
68,22/11/2024,B2S7,flowering,partial,Precious,
69,22/11/2024,B2S7,health status,partial,Precious,"due to colar rot,so painting of sterms is recommended"
70,22/11/2024,B2S7,soil moisture,partial,Precious,
71,23/11/2024,B2S1A,Insect pests,pass,Precious,
72,23/11/2024,B2S1A,diseases,pass,Precious,
73,23/11/2024,B2S1A,basin weeds,pass,Precious,
74,23/11/2024,B2S1A,inrows,pass,Precious,shrubs regrowth
75,23/11/2024,B2S1A,mowing,pass,Precious,
